key	name	level	line	series_code	parent	is_leaf	bea_pct_change	bea_contributions	bea_quantity_index	bea_price_index	bea_nominal	bea_real	bea_pct_change_price	bea_deflator	bea_shares
gdp	Gross Domestic Product	0	1	A191RC		False	T10101:L1	T10102:L1	T10103:L1	T10104:L1	T10105:L1	T10106:L1	T10107:L1	T10109:L1	T10110:L1
pce	Personal Consumption Expenditures	1	2	DPCERC	gdp	False	T10101:L2	T10102:L2	T10103:L2	T10104:L2	T10105:L2	T10106:L2	T10107:L2	T10109:L2	T10110:L2
pce_goods	Goods	2	3	DGDSRC	pce	False	T10101:L3	T10102:L3	T10103:L3	T10104:L3	T10105:L3	T10106:L3	T10107:L3	T10109:L3	T10110:L3
pce_durable_goods	Durable Goods	3	4	DDURRC	pce_goods	True	T10101:L4	T10102:L4	T10103:L4	T10104:L4	T10105:L4	T10106:L4	T10107:L4	T10109:L4	T10110:L4
pce_nondurable_goods	Nondurable Goods	3	5	DNDGRC	pce_goods	True	T10101:L5	T10102:L5	T10103:L5	T10104:L5	T10105:L5	T10106:L5	T10107:L5	T10109:L5	T10110:L5
pce_services	Services	2	6	DSERRC	pce	True	T10101:L6	T10102:L6	T10103:L6	T10104:L6	T10105:L6	T10106:L6	T10107:L6	T10109:L6	T10110:L6
gross_private_domestic_investment	Gross Private Domestic Investment	1	7	A006RC	gdp	False	T10101:L7	T10102:L7	T10103:L7	T10104:L7	T10105:L7	T10106:L7	T10107:L7	T10109:L7	T10110:L7
fixed_investment	Fixed Investment	2	8	A007RC	gross_private_domestic_investment	False	T10101:L8	T10102:L8	T10103:L8	T10104:L8	T10105:L8	T10106:L8	T10107:L8	T10109:L8	T10110:L8
nonresidential	Nonresidential	3	9	A008RC	fixed_investment	False	T10101:L9	T10102:L9	T10103:L9	T10104:L9	T10105:L9	T10106:L9	T10107:L9	T10109:L9	T10110:L9
structures	Structures	4	10	B009RC	nonresidential	True	T10101:L10	T10102:L10	T10103:L10	T10104:L10	T10105:L10	T10106:L10	T10107:L10	T10109:L10	T10110:L10
equipment	Equipment	4	11	Y033RC	nonresidential	True	T10101:L11	T10102:L11	T10103:L11	T10104:L11	T10105:L11	T10106:L11	T10107:L11	T10109:L11	T10110:L11
intellectual_property_products	Intellectual Property Products	4	12	Y001RC	nonresidential	True	T10101:L12	T10102:L12	T10103:L12	T10104:L12	T10105:L12	T10106:L12	T10107:L12	T10109:L12	T10110:L12
residential	Residential	3	13	A011RC	fixed_investment	True	T10101:L13	T10102:L13	T10103:L13	T10104:L13	T10105:L13	T10106:L13	T10107:L13	T10109:L13	T10110:L13
change_in_private_inventories	Change in Private Inventories	2	14	A014RC	gross_private_domestic_investment	True	T10101:L14	T10102:L14	T10103:L14	T10104:L14	T10105:L14	T10106:L14	T10107:L14	T10109:L14	T10110:L14
net_exports	Net Exports of Goods and Services	1	15	A019RC	gdp	False	T10101:L15	T10102:L15	T10103:L15	T10104:L15	T10105:L15	T10106:L15	T10107:L15	T10109:L15	T10110:L15
exports	Exports	2	16	B020RC	net_exports	False	T10101:L16	T10102:L16	T10103:L16	T10104:L16	T10105:L16	T10106:L16	T10107:L16	T10109:L16	T10110:L16
exports_goods	Goods (Exports)	3	17	A253RC	exports	True	T10101:L17	T10102:L17	T10103:L17	T10104:L17	T10105:L17	T10106:L17	T10107:L17	T10109:L17	T10110:L17
exports_services	Services (Exports)	3	18	A646RC	exports	True	T10101:L18	T10102:L18	T10103:L18	T10104:L18	T10105:L18	T10106:L18	T10107:L18	T10109:L18	T10110:L18
imports	Imports	2	19	B021RC	net_exports	False	T10101:L19	T10102:L19	T10103:L19	T10104:L19	T10105:L19	T10106:L19	T10107:L19	T10109:L19	T10110:L19
imports_goods	Goods (Imports)	3	20	A255RC	imports	True	T10101:L20	T10102:L20	T10103:L20	T10104:L20	T10105:L20	T10106:L20	T10107:L20	T10109:L20	T10110:L20
imports_services	Services (Imports)	3	21	B656RC	imports	True	T10101:L21	T10102:L21	T10103:L21	T10104:L21	T10105:L21	T10106:L21	T10107:L21	T10109:L21	T10110:L21
government	Government Consumption Expenditures and Gross Investment	1	22	A822RC	gdp	False	T10101:L22	T10102:L22	T10103:L22	T10104:L22	T10105:L22	T10106:L22	T10107:L22	T10109:L22	T10110:L22
federal	Federal	2	23	A823RC	government	False	T10101:L23	T10102:L23	T10103:L23	T10104:L23	T10105:L23	T10106:L23	T10107:L23	T10109:L23	T10110:L23
national_defense	National Defense	3	24	A824RC	federal	True	T10101:L24	T10102:L24	T10103:L24	T10104:L24	T10105:L24	T10106:L24	T10107:L24	T10109:L24	T10110:L24
nondefense	Nondefense	3	25	A825RC	federal	True	T10101:L25	T10102:L25	T10103:L25	T10104:L25	T10105:L25	T10106:L25	T10107:L25	T10109:L25	T10110:L25
state_and_local	State and Local	2	26	A829RC	government	True	T10101:L26	T10102:L26	T10103:L26	T10104:L26	T10105:L26	T10106:L26	T10107:L26	T10109:L26	T10110:L26
